		
 101		1		50		50
 202		2		40		90
 303		3		70		30
 404		4		90		10
 101		2		80		20
 202		1		60		60
 303		4		20		100
 404		3		35		70
 101		3		60		100
 202		4		20		200
 303		1		90		45
 404		2		33		67
 101		4		40		60
 202 		3		60		90
 303		2		30		80
 404		1		70		70
 101		5		35		95
 202		6		24		48
 303		7		89		91
 404		8		15		105
 101		6		26		59
 202		7		70		90
 303		8		10		100
 404		5		35		70
 101		7		40		135
 202		8		28		140
 303		5		90		55
 404		6		100		20
 101		8		35		85
 202 		5		40		69
 303		6		31		62
 404		7		35		35
